Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.00494548,0.00394621,0.0207873,1
0.00160923,0.00129717,0.00760932,1
0.00163309,0.00101195,0.00612171,1
0.00172489,0.00117492,0.00692466,1
0.00432337,0.00379702,0.0227347,1
0.00499901,0.00387046,0.0258677,0.988095
0.00525925,0.0042415,0.0289001,1
0.00499763,0.00416876,0.0256904,1
0.00580922,0.00410769,0.0263046,1
0.00610171,0.00464027,0.0281884,0.994413
0.00504974,0.00343447,0.0227257,0.982759
0.00235262,0.00171804,0.0100213,1
0.00369478,0.00322782,0.0233928,0.99435
0.00383326,0.0033545,0.0215606,0.994382
0.00272325,0.00229556,0.0108295,0.994286
0.00343902,0.00166138,0.0083486,1
0.00240118,0.00234183,0.0196022,1
0.00454921,0.00296456,0.0201356,1
0.00434677,0.00311188,0.0211647,0.976744
0.00458581,0.0032048,0.0262348,1
0.00382769,0.00333964,0.0211152,1
0.00482173,0.00361492,0.0226039,1
0.00641609,0.00378458,0.028278,1
0.00563693,0.00395285,0.0271997,1
0.00806075,0.00360537,0.0235271,1
0.00737938,0.00386101,0.0277785,1
0.00447283,0.00332476,0.016398,1
0.0033965,0.0025185,0.0155913,1
0.00423366,0.00289899,0.0182783,1
0.00428639,0.00280503,0.017657,1
0.00436898,0.00291835,0.018987,1
0.00411815,0.00279491,0.0172791,1
0.00421509,0.00283106,0.0172895,0.988095
0.00427342,0.00288585,0.0179537,1
0.00396836,0.0029502,0.01859,1
0.00391078,0.00304371,0.0180749,1
0.00400277,0.0030888,0.0192317,0.994413
0.00428897,0.00295591,0.0179576,0.982759
0.00416507,0.0028517,0.0175748,1
0.00410517,0.00295326,0.0186125,0.99435
0.00465813,0.00300827,0.0190537,0.994382
0.00363785,0.00297718,0.0181721,0.994286
0.00393371,0.00302419,0.0186945,1
0.00392579,0.00290035,0.0182722,1
0.0038908,0.00280453,0.0175822,1
0.00404427,0.00287918,0.0183589,0.976744
0.0039479,0.0031566,0.0185736,1
0.0039022,0.00283789,0.0174663,1
0.00404147,0.00286602,0.0174396,1
0.00398836,0.00327837,0.0186458,1
0.00396694,0.00289013,0.0179724,1
0.00419835,0.00292655,0.0179223,1
0.00415795,0.0028522,0.0208929,1
0.00420653,0.00293446,0.0186188,1
0.00403118,0.00282981,0.0182465,0.982143
0.00433967,0.00289363,0.0210886,1
0.00428055,0.00289761,0.0209147,1
0.0037606,0.00314364,0.0181867,1
0.00419363,0.00287392,0.0180299,0.994253
0.00392539,0.00321289,0.0188281,1
0.00403896,0.00335642,0.0179421,1
0.0042418,0.00290148,0.0181454,1
0.00406745,0.00289781,0.018582,1
0.00412413,0.00288284,0.0179316,1
0.00411842,0.0029123,0.0180288,0.994253
0.0037828,0.00292102,0.0180342,1
0.00398634,0.00295262,0.018872,1
0.00422636,0.00298816,0.017943,1
0.00411691,0.00286244,0.0216132,1
0.00391972,0.00304242,0.020448,1
0.00400657,0.00282459,0.0179537,1
0.00430932,0.00314547,0.0188537,0.988701
0.00416526,0.00349018,0.0186303,1
0.00413384,0.00300507,0.0183766,1
0.00425933,0.00296664,0.0222116,1
0.00450046,0.00363673,0.0193266,1
0.00417461,0.00281846,0.0182564,1
0.00418347,0.00297887,0.0220109,1
0.00536804,0.00366717,0.0188887,1
0.00417796,0.00300557,0.0188036,1
0.00421312,0.00295102,0.018532,1
0.00413533,0.00282439,0.0181349,1
0.00412347,0.00294145,0.0114178,1
0.00413246,0.0028504,0.0184027,0.982558
0.00413279,0.00294427,0.0184936,1
0.00418958,0.00298798,0.0189009,1
0.00414757,0.00278144,0.0173216,0.982036
0.00423373,0.00295998,0.0183284,1
0.00426262,0.00281755,0.0176861,0.988166
0.00421061,0.00288405,0.0181325,1
0.00456917,0.00296878,0.018953,1
0.00426148,0.00295418,0.018038,1
0.00412557,0.00294131,0.0197935,1
0.00375735,0.00270403,0.0184767,1
0.00417666,0.00313512,0.0194415,0.994595
0.00427738,0.00298794,0.0190954,1
0.00423441,0.00280113,0.017932,0.976744
0.00454997,0.00285222,0.0180939,1
0.00425947,0.00288833,0.0176461,1
0.00420963,0.00291483,0.0178029,1
0.0042395,0.00288137,0.0185664,1
0.0042168,0.00293986,0.0180388,1
0.00417215,0.00288809,0.0180971,1
0.00428979,0.00310388,0.0191806,1
0.00219028,0.00216588,0.0114536,1
0.00566867,0.00378179,0.0188851,1
0.00412112,0.00288273,0.0109167,1
0.00398898,0.00286129,0.0178617,0.994253
0.00426071,0.00291925,0.0179977,0.994286
0.00369945,0.00299261,0.0185519,0.994413
0.00383106,0.0027252,0.017851,1
0.00399542,0.0027957,0.0182496,1
0.00390509,0.00286986,0.0179697,1
0.00429804,0.0027625,0.0181158,1
0.00409143,0.00294431,0.0179315,1
0.00395067,0.00299691,0.0181414,1
0.0041074,0.00279575,0.0178027,0.988235
0.00401528,0.00281836,0.0180086,1
0.0039561,0.00283043,0.0177308,1
0.00416137,0.00280125,0.0175817,1
0.00443275,0.00275236,0.0171245,1
0.00420559,0.00286566,0.0176316,0.99422
0.00404302,0.00287308,0.0176059,1
0.00479449,0.00304565,0.0180074,0.988571
0.00410143,0.00288431,0.0179098,1
0.00415848,0.00283683,0.0178456,1
0.00444203,0.00288868,0.0178708,1
0.00374934,0.00288182,0.0183606,1
0.00377184,0.00273796,0.0177823,1
0.00450717,0.00270462,0.0180677,1
0.00407293,0.0028731,0.0179447,1
0.00429255,0.003415,0.0188101,0.994318
0.00393873,0.00280707,0.0174166,1
0.00397901,0.00297535,0.0184004,1
0.00407194,0.00293392,0.018234,1
0.00394049,0.00287561,0.0179511,1
0.00415776,0.00278287,0.0174827,1
0.00420332,0.0026762,0.0167176,1
0.00508747,0.00314503,0.0188754,1
0.00394435,0.00277303,0.0174757,1
0.00471166,0.00317816,0.017641,1
0.00395233,0.0029455,0.0181086,1
0.00425698,0.0028369,0.017564,1
0.00395633,0.00299714,0.0184142,1
0.00421287,0.00285011,0.01751,1
0.00395013,0.00295772,0.0189782,1
0.00417763,0.00294916,0.0180401,1
0.0041592,0.00310839,0.0187728,0.994505
0.00393177,0.00280565,0.0174802,1
0.00413055,0.0027589,0.0171812,1
0.00467376,0.00290719,0.0179934,1
0.00418975,0.00289197,0.0178641,1
0.00397034,0.00296133,0.0180981,1
0.0044647,0.00278908,0.017605,0.994118
0.00423153,0.00285796,0.0179226,0.988439
0.00407825,0.00289056,0.0178147,1
0.00395183,0.00286098,0.0176853,0.994152
0.00523419,0.00422402,0.0225275,1
0.00430336,0.00287412,0.0112076,1
0.00476514,0.00268072,0.0170303,1
0.0050279,0.00325759,0.0184147,1
0.00421172,0.00274457,0.0189533,1
0.0040301,0.00288414,0.0182498,1
0.004263,0.00289444,0.0179505,0.988372
0.00396734,0.0029031,0.0180947,1
0.00466989,0.00275395,0.0177087,1
0.00411182,0.00300652,0.0187459,1
0.00407445,0.00274955,0.0182014,1
0.00447972,0.00291383,0.0187034,1
0.00395452,0.00287123,0.0194275,1
0.00422798,0.00289627,0.018936,0.988304
0.00479315,0.00292453,0.0184509,1
0.00401616,0.00309135,0.018714,0.972376
0.00420894,0.00292695,0.0181597,0.994286
0.00397786,0.00310943,0.0189442,1
0.00395827,0.00290453,0.0191116,1
0.00409026,0.00301805,0.0192408,0.994318
0.00391113,0.0029465,0.0178763,0.99422
0.00413713,0.00287351,0.0181803,1
0.00394634,0.00299883,0.0180831,0.982955
0.00440804,0.00281859,0.0179148,0.99422
0.00446136,0.00363544,0.0179414,1
0.00395824,0.00278049,0.0172705,1
0.00409518,0.00301481,0.0186776,1
0.00397277,0.00281337,0.0173895,1
0.00430829,0.0028969,0.0177137,1
0.00398651,0.00289782,0.0180228,1
0.00395033,0.00284191,0.017529,1
0.00400037,0.00288096,0.0176495,1
0.00472712,0.00285992,0.0177321,1
0.00407856,0.00288216,0.017646,1
0.00409942,0.00286483,0.0180143,1
