Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.0149618,0.00219065,0.021831,1
0.00799066,0.00185838,0.0264017,1
0.00798061,0.00164751,0.0172184,1
0.00960904,0.00201471,0.0223656,1
0.00759492,0.00161891,0.0231063,1
0.00820937,0.00147167,0.0152858,1
0.00854116,0.00175582,0.0242012,1
0.00770879,0.00161253,0.0165279,1
0.00735592,0.00167861,0.0145913,1
0.00960734,0.00179508,0.0130438,1
0.00750932,0.0017548,0.0176035,1
0.00772113,0.00170402,0.0169498,1
0.0294653,0.0055461,0.0606417,1
0.00910488,0.00168692,0.0182393,1
0.00745924,0.00132017,0.0261077,1
0.00983578,0.00187966,0.0216423,1
0.0100534,0.00170101,0.025894,1
0.00955157,0.00200256,0.0215982,1
0.00756795,0.00171162,0.0185294,1
0.00842714,0.00202527,0.0213446,1
0.00800908,0.00179505,0.0200091,1
0.00834764,0.00158278,0.0180064,1
0.0273033,0.00523449,0.0578189,1
0.00919808,0.00166833,0.0200333,1
0.0306086,0.00558608,0.0328317,1
0.0104538,0.00202649,0.0242177,1
0.0124468,0.00187581,0.0263281,1
0.0121038,0.00195039,0.0265154,1
0.0108506,0.00271123,0.0230562,1
0.0102647,0.00229964,0.0233672,1
0.0118177,0.00303649,0.0326693,1
0.0111391,0.00164643,0.0152486,1
0.00957127,0.00186087,0.02234,1
0.00912292,0.00166255,0.0222115,1
0.00895704,0.00122627,0.0122938,1
0.00778388,0.00114853,0.013287,1
0.00887302,0.00173358,0.0196521,1
0.00879846,0.00156614,0.0135762,1
0.00743692,0.00154769,0.0175258,1
0.00954447,0.00174961,0.0154118,1
0.00790685,0.0017344,0.0141647,1
0.0089105,0.00139037,0.0148212,1
0.0085628,0.0018146,0.0147186,1
0.011091,0.00215646,0.0156326,1
0.00776844,0.00118863,0.0180628,1
0.0112417,0.00217236,0.0221948,1
0.0113837,0.0019347,0.0196781,1
0.0128362,0.00368237,0.0267662,1
0.00800482,0.0017907,0.0242358,1
0.00914406,0.0015804,0.0228601,1
0.00762172,0.00128895,0.0201022,1
0.00809132,0.00193758,0.0189941,1
0.00738323,0.00162113,0.0193427,1
0.00970552,0.0015358,0.018541,1
0.00853467,0.00184719,0.0230172,1
0.00750176,0.00178881,0.011968,1
0.0098182,0.00171083,0.0210658,1
0.00779502,0.00140265,0.0145327,1
0.0118606,0.00195894,0.0200363,1
0.00872307,0.00177978,0.0206762,1
0.00907155,0.0013809,0.0184864,1
0.0092019,0.00160322,0.0162402,1
0.0067847,0.00142002,0.0211751,1
0.010569,0.00195514,0.0204324,1
0.0105911,0.00185677,0.0256431,1
0.00991646,0.00184847,0.0215175,1
0.00847087,0.00127804,0.0167924,1
0.00985247,0.00184084,0.0210215,1
0.00836098,0.00146165,0.0220816,1
0.00953455,0.00177644,0.0186394,1
0.00833636,0.00130904,0.0222752,1
0.00836592,0.00129952,0.0187512,1
0.00865062,0.00142134,0.0221065,1
0.00901714,0.00166572,0.0146634,1
0.00678274,0.0015208,0.0163924,1
0.00672939,0.0013684,0.0119168,1
0.00652374,0.00112504,0.0172227,1
0.00682406,0.00111692,0.0153131,1
0.00845738,0.00159607,0.0191845,1
0.00746729,0.00166666,0.0178968,1
0.0282966,0.00465406,0.0555836,1
0.00992079,0.00206764,0.0182925,1
0.00909285,0.00142299,0.0162328,1
0.00984046,0.00131408,0.0175955,1
0.00828374,0.00182603,0.0212581,1
0.00829335,0.00200255,0.021136,1
0.00863532,0.00192331,0.0247472,1
0.00796343,0.00151922,0.0138425,1
0.0090518,0.00208451,0.0198685,1
0.00869489,0.00181681,0.0197772,1
0.00878859,0.00162398,0.0201681,1
0.00830662,0.00186912,0.0185602,1
0.0296396,0.00572912,0.060215,1
0.0121351,0.00219413,0.0217211,1
0.011789,0.00189796,0.0301014,1
0.0107595,0.00285058,0.0256001,1
0.0112026,0.00181484,0.0264825,1
0.0111545,0.00187539,0.0242068,1
0.00729071,0.00170734,0.0175379,1
0.0157883,0.00175487,0.0205559,1
0.00640529,0.0013463,0.0177881,1
0.00833339,0.0016201,0.0170555,1
0.0212766,0.00501917,0.069606,1
0.0111245,0.00174093,0.0162187,1
0.0080948,0.0018378,0.0279415,1
0.00891816,0.00203977,0.0214936,1
0.0116281,0.00178458,0.0224769,1
0.00711769,0.00173904,0.0184001,0.986047
0.0136986,0.00365248,0.0388201,1
0.0190135,0.00289575,0.0327441,1
0.0159383,0.0032033,0.0370769,1
0.0250731,0.00530538,0.0529625,1
0.00709884,0.00127147,0.0243785,1
0.00734941,0.0013513,0.0165421,1
0.0303609,0.00515376,0.0663394,1
0.0123122,0.00214455,0.0246134,1
0.00691325,0.00126984,0.0245266,1
0.0250682,0.00583485,0.0688733,1
0.0144139,0.00168829,0.0162548,1
0.00668145,0.00127065,0.0151807,1
0.0243449,0.005924,0.0656149,1
0.017322,0.00208371,0.0257522,1
0.00673571,0.00175315,0.0231425,1
