Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00203362,0.0120995,0.212764,0.49505,101,39.2578,2.76007,1,0.49505,0.662252,50,0,51,0
0.000241145,0.000493236,0.217334,0.61165,103,39.2578,3.09175,1,0.61165,0.759036,63,0,40,0
0.000253601,0.0077406,0.21082,0.578947,95,39.2578,2.3491,1,0.578947,0.733333,55,0,40,0
0.000239876,0.00130127,0.20601,0.515464,97,39.2578,2.79628,1,0.515464,0.680272,50,0,47,0
0.000269903,0.00749115,0.181433,0.517241,87,52.1484,2.54867,1,0.517241,0.681818,45,0,42,0
0.000228765,0.0137303,0.196934,0.602041,98,52.1484,3.44313,1,0.602041,0.751592,59,0,39,0
0.000230417,0.000685284,0.22053,0.514851,101,52.1484,2.16024,1,0.514851,0.679739,52,0,49,0
0.00027532,0.000424505,0.201422,0.554348,92,52.1484,2.99191,1,0.554348,0.713287,51,0,41,0
0.00023053,0.00185811,0.206485,0.529412,102,52.1484,3.1591,1,0.529412,0.692308,54,0,48,0
0.000222988,0.00291288,0.179769,0.548387,93,52.1484,3.49648,1,0.548387,0.708333,51,0,42,0
0.000282536,0.000378037,0.216824,0.631068,103,52.1484,1.87374,1,0.631068,0.77381,65,0,38,0
0.000365798,0.000352646,0.186728,0.610526,95,52.1484,2.63159,1,0.610526,0.75817,58,0,37,0
0.000308841,0.00683378,0.198152,0.55102,98,72.0215,2.0857,1,0.55102,0.710526,54,0,44,0
0.0003439,0.0055699,0.209542,0.575758,99,72.0215,2.40955,1,0.575758,0.730769,57,0,42,0
0.000253814,0.00102931,0.173652,0.643678,87,72.0215,2.58959,1,0.643678,0.783217,56,0,31,0
0.000232755,0.00954441,0.206826,0.560748,107,72.0215,2.7968,1,0.560748,0.718563,60,0,47,0
0.000317851,0.00196394,0.196946,0.606061,99,72.0215,2.92798,1,0.606061,0.754717,60,0,39,0
0.000319572,0.00304668,0.202602,0.727273,99,72.0215,2.47034,1,0.727273,0.842105,72,0,27,0
0.000240261,0.000230991,0.187781,0.451613,93,72.0215,2.0052,1,0.451613,0.622222,42,0,51,0
0.000233565,0.000355346,0.199727,0.585859,99,72.0215,2.73301,1,0.585859,0.738854,58,0,41,0
0.000282664,0.00217648,0.204471,0.425743,101,72.0215,2.12128,1,0.425743,0.597222,43,0,58,0
0.000330385,0.00489065,0.195464,0.59375,96,98.291,2.6125,1,0.59375,0.745098,57,0,39,0
0.000326494,0.00396756,0.215511,0.580952,105,98.291,3.14981,1,0.580952,0.73494,61,0,44,0
0.000313997,0.00660074,0.180698,0.702128,94,98.291,1.95807,1,0.702128,0.825,66,0,28,0
0.000231611,0.000426502,0.189128,0.705263,95,98.291,2.80034,1,0.705263,0.82716,67,0,28,0
0.000224376,0.000407988,0.196199,0.608247,97,98.291,4.30475,1,0.608247,0.75641,59,0,38,0
0.000225545,0.000345228,0.200489,0.351648,91,98.291,1.74279,1,0.351648,0.520325,32,0,59,0
0.000251625,0.0025436,0.200442,0.505051,99,98.291,2.17985,1,0.505051,0.671141,50,0,49,0
0.000240394,0.000374094,0.194693,0.623762,101,98.291,3.25612,1,0.623762,0.768293,63,0,38,0
0.000235148,0.000622906,0.222966,0.525773,97,106.445,3.43195,1,0.525773,0.689189,51,0,46,0
0.000331392,0.000964281,0.204102,0.715789,95,106.445,2.45861,1,0.715789,0.834356,68,0,27,0
0.000318449,0.000382155,0.212461,0.707071,99,106.445,2.72721,1,0.707071,0.828402,70,0,29,0
0.000251099,0.00630218,0.225608,0.631579,95,106.445,2.84323,1,0.631579,0.774194,60,0,35,0
0.000263496,0.000421524,0.176153,0.773196,97,106.445,2.7414,1,0.773196,0.872093,75,0,22,0
