Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00205815,0.0121168,0.212601,0.49505,101,67.7734,2.76007,1,0.49505,0.662252,50,0,51,0
0.000249251,0.000764164,0.21196,0.591837,98,67.7734,2.87242,1,0.591837,0.74359,58,0,40,0
0.000344085,0.000333903,0.215479,0.578947,95,67.7734,2.3491,1,0.578947,0.733333,55,0,40,0
0.000328439,0.00332567,0.20662,0.515464,97,67.7734,2.79628,1,0.515464,0.680272,50,0,47,0
0.000311832,0.0137826,0.188315,0.517241,87,67.7734,2.54867,1,0.517241,0.681818,45,0,42,0
0.000318836,0.00853967,0.199266,0.602041,98,67.7734,3.44313,1,0.602041,0.751592,59,0,39,0
0.00039107,0.0100594,0.19574,0.514851,101,67.7734,2.16024,1,0.514851,0.679739,52,0,49,0
0.000233616,0.000563937,0.177211,0.554348,92,67.7734,2.99191,1,0.554348,0.713287,51,0,41,0
0.000542007,0.00131417,0.20734,0.529412,102,78.3691,3.1591,1,0.529412,0.692308,54,0,48,0
0.000232487,0.000467009,0.193946,0.597938,97,78.3691,2.14638,1,0.597938,0.748387,58,0,39,0
0.000252502,0.000451707,0.223816,0.631068,103,78.3691,1.87374,1,0.631068,0.77381,65,0,38,0
0.000255704,0.00277884,0.194178,0.610526,95,78.3691,2.63159,1,0.610526,0.75817,58,0,37,0
0.000252037,0.000521009,0.199521,0.55102,98,78.3691,2.0857,1,0.55102,0.710526,54,0,44,0
0.00023137,0.00104433,0.198028,0.575758,99,78.3691,2.40955,1,0.575758,0.730769,57,0,42,0
0.000500349,0.00606841,0.172913,0.643678,87,78.3691,2.58959,1,0.643678,0.783217,56,0,31,0
0.00039017,0.0083347,0.223014,0.560748,107,78.3691,2.7968,1,0.560748,0.718563,60,0,47,0
0.000412397,0.00101744,0.210595,0.606061,99,96.1426,2.92798,1,0.606061,0.754717,60,0,39,0
0.000375579,0.000379438,0.198794,0.727273,99,96.1426,2.47034,1,0.727273,0.842105,72,0,27,0
0.000248749,0.000315865,0.201297,0.639175,97,96.1426,2.91962,1,0.639175,0.779874,62,0,35,0
0.000396046,0.00165854,0.198929,0.585859,99,96.1426,2.73301,1,0.585859,0.738854,58,0,41,0
0.000282185,0.000464347,0.194062,0.642857,98,96.1426,1.91088,1,0.642857,0.782609,63,0,35,0
0.000251974,0.000414208,0.187278,0.59375,96,96.1426,2.6125,1,0.59375,0.745098,57,0,39,0
0.000229096,0.0016738,0.20346,0.688679,106,96.1426,2.16655,1,0.688679,0.815642,73,0,33,0
0.000244655,0.000366612,0.193392,0.55102,98,96.1426,3.1341,1,0.55102,0.710526,54,0,44,0
0.000278916,0.00352558,0.185945,0.705263,95,96.1426,2.80034,1,0.705263,0.82716,67,0,28,0
0.000323963,0.000439439,0.216805,0.627451,102,104.492,2.17598,1,0.627451,0.771084,64,0,38,0
0.000299617,0.000314437,0.178566,0.351648,91,104.492,1.74279,1,0.351648,0.520325,32,0,59,0
0.000293795,0.00351561,0.193068,0.546392,97,104.492,2.67194,1,0.546392,0.706667,53,0,44,0
0.000338523,0.000771363,0.243978,0.739583,96,104.492,3.04241,1,0.739583,0.850299,71,0,25,0
0.000254149,0.00188294,0.180949,0.55914,93,104.492,2.93881,1,0.55914,0.717241,52,0,41,0
0.000317874,0.0075402,0.181347,0.648936,94,104.492,3.87986,1,0.648936,0.787097,61,0,33,0
0.000232671,0.000581155,0.222785,0.602041,98,104.492,2.83733,1,0.602041,0.751592,59,0,39,0
0.000342572,0.00144455,0.202277,0.52381,105,104.492,1.90533,1,0.52381,0.6875,55,0,50,0
0.000309622,0.00025953,0.166947,0.773196,97,104.102,2.7414,1,0.773196,0.872093,75,0,22,0
