Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00431144,0.0152097,0.0147118,1,193,62.8418,12.1016,1,1,1,193,0,0,0
0.000936321,0.000385798,0.00615592,1,191,62.8418,11.8241,1,1,1,191,0,0,0
0.0013149,0.0161783,0.0101276,1,202,62.8418,12.2919,1,1,1,202,0,0,0
0.00133474,0.0131442,0.00650206,1,192,62.8418,11.4884,1,1,1,192,0,0,0
0.00154214,0.00950232,0.0063751,1,196,62.8418,11.5752,1,1,1,196,0,0,0
0.000946934,0.000790019,0.00771216,1,196,62.8418,11.1846,1,1,1,196,0,0,0
0.00424912,0.0149285,0.039692,1,193,62.8418,11.4774,1,1,1,193,0,0,0
0.00147186,0.0276885,0.00741618,1,199,62.8418,11.969,1,1,1,199,0,0,0
0.00140455,0.0154107,0.00979311,1,197,62.8418,12.0442,1,1,1,197,0,0,0
0.00154067,0.00473743,0.00925061,1,201,62.8418,10.9902,1,1,1,201,0,0,0
0.000966257,0.00294486,0.00645948,1,193,62.8418,11.5091,1,1,1,193,0,0,0
0.00124239,0.00189968,0.00670649,1,195,62.8418,12.0584,1,1,1,195,0,0,0
0.00128143,0.00518994,0.00692914,1,193,62.8418,11.2376,1,1,1,193,0,0,0
0.000996246,0.0286571,0.00593944,1,197,62.8418,11.5905,1,1,1,197,0,0,0
0.000899342,0.00716292,0.00694496,1,189,62.8418,10.4503,1,1,1,189,0,0,0
0.00093068,0.0105823,0.00780141,1,199,62.8418,12.2673,1,1,1,199,0,0,0
0.000874247,0.00392388,0.00814095,1,194,62.8418,12.1294,1,1,1,194,0,0,0
0.000953331,0.00794108,0.00770447,1,193,62.8418,11.6079,1,1,1,193,0,0,0
0.000915762,0.0120776,0.00695052,1,197,62.8418,11.8811,1,1,1,197,0,0,0
0.000834512,0.014618,0.00612353,1,194,62.8418,12.5355,1,1,1,194,0,0,0
0.00092121,0.00177747,0.00742831,1,197,62.8418,12.8629,1,1,1,197,0,0,0
0.000893025,0.00525473,0.00764193,1,197,62.8418,12.4802,1,1,1,197,0,0,0
0.00104304,0.00467977,0.00652316,0.995074,203,62.8418,11.7364,1,0.995074,0.997531,202,0,1,0
0.000895586,0.00860869,0.00735923,1,195,62.8418,11.9815,1,1,1,195,0,0,0
0.00105353,0.0160299,0.00637516,1,198,62.8418,12.0749,1,1,1,198,0,0,0
0.000912714,0.00354074,0.00749268,1,194,62.8418,11.8203,1,1,1,194,0,0,0
0.000925214,0.00415149,0.00706842,1,203,62.8418,11.5094,1,1,1,203,0,0,0
