Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.0154917,0.0200466,0.0100487,1,211,114.16,12.4565,1,1,1,211,0,0,0
0.00355802,0.00528946,0.0104235,1,211,114.16,11.9545,1,1,1,211,0,0,0
0.00325813,0.0129802,0.00693357,1,210,114.16,11.6951,1,1,1,210,0,0,0
0.0043924,0.0171174,0.00914455,1,217,114.16,12.3894,1,1,1,217,0,0,0
0.00555262,0.0124223,0.00768931,1,209,114.16,12.102,1,1,1,209,0,0,0
0.00337552,0.00045073,0.00712457,1,208,114.16,12.4014,1,1,1,208,0,0,0
0.0120579,0.0121426,0.0253539,1,211,114.16,12.2328,1,1,1,211,0,0,0
0.00738542,0.00130529,0.010597,1,207,114.16,12.0525,1,1,1,207,0,0,0
0.00320177,0.00951559,0.0120757,1,214,114.16,12.4604,1,1,1,214,0,0,0
0.00317392,0.0174195,0.00853373,1,206,114.16,12.1422,1,1,1,206,0,0,0
0.00314253,0.0283262,0.0064845,1,214,114.16,12.1348,1,1,1,214,0,0,0
0.00327786,0.0199266,0.0121192,1,211,114.16,12.3932,1,1,1,211,0,0,0
0.00332311,0.0150052,0.00873007,1,212,114.16,11.919,1,1,1,212,0,0,0
0.00309936,0.0129699,0.00652495,1,215,114.16,12.7541,1,1,1,215,0,0,0
0.0030403,0.0139562,0.00698319,1,213,114.16,11.9027,1,1,1,213,0,0,0
0.00326054,0.00651816,0.00855463,1,211,114.16,12.4684,1,1,1,211,0,0,0
0.00321268,0.0083708,0.00780758,1,210,114.16,13.2117,1,1,1,210,0,0,0
0.00316563,0.00309126,0.00837636,1,207,114.16,11.9329,1,1,1,207,0,0,0
0.00304767,0.0125791,0.00615398,1,210,114.16,12.445,1,1,1,210,0,0,0
0.00295489,0.00466949,0.00581912,1,211,121.045,12.7824,1,1,1,211,0,0,0
0.00291671,0.00528618,0.00626184,1,212,121.045,11.8281,1,1,1,212,0,0,0
0.00299566,0.0033123,0.00634297,1,211,121.045,12.4814,1,1,1,211,0,0,0
0.00294485,0.0176875,0.00670779,1,212,121.045,12.9893,1,1,1,212,0,0,0
0.00304378,0.0147188,0.0154953,1,209,121.045,12.3298,1,1,1,209,0,0,0
0.00309761,0.000778122,0.00678873,1,210,121.045,12.6284,1,1,1,210,0,0,0
0.00328066,0.0134427,0.0077408,1,216,121.045,12.0133,1,1,1,216,0,0,0
0.0110937,0.00332268,0.0290638,1,208,121.045,12.2937,1,1,1,208,0,0,0
0.00395429,0.00593208,0.00807505,1,211,121.045,11.6295,1,1,1,211,0,0,0
0.00492597,0.00373919,0.0123828,1,207,121.045,11.4831,1,1,1,207,0,0,0
0.00624871,0.00708541,0.0124203,1,208,121.045,12.3884,1,1,1,208,0,0,0
0.00872075,0.00655561,0.0129934,1,212,121.045,11.8549,1,1,1,212,0,0,0
0.00370981,0.000733666,0.00845365,1,205,121.045,11.5032,1,1,1,205,0,0,0
0.00392567,0.0237447,0.00794911,1,214,121.045,12.564,1,1,1,214,0,0,0
0.00396514,0.00084061,0.0102917,1,209,121.045,12.2774,1,1,1,209,0,0,0
0.00761758,0.00120343,0.023942,1,212,121.045,12.443,1,1,1,212,0,0,0
0.0160746,0.00137526,0.0280464,1,208,121.045,12.5336,1,1,1,208,0,0,0
0.00387617,0.000687877,0.0119951,1,211,121.045,11.9371,1,1,1,211,0,0,0
0.0092282,0.0120379,0.0233756,1,207,121.045,12.0831,1,1,1,207,0,0,0
0.010221,0.000995806,0.0149919,1,209,121.045,12.0217,1,1,1,209,0,0,0
0.00429262,0.00129375,0.0104307,1,209,121.045,12.9786,1,1,1,209,0,0,0
0.0124619,0.0024237,0.0279137,1,215,121.045,12.0296,1,1,1,215,0,0,0
0.0100843,0.00263659,0.0112425,1,210,121.045,11.5466,1,1,1,210,0,0,0
0.00533612,0.0118529,0.0196703,1,206,121.045,12.2733,1,1,1,206,0,0,0
0.00998884,0.00112932,0.0220886,1,211,121.045,12.0842,1,1,1,211,0,0,0
0.0134282,0.00101574,0.0222192,1,209,121.045,12.4792,1,1,1,209,0,0,0
0.00450333,0.00118265,0.00947379,1,211,121.045,12.457,1,1,1,211,0,0,0
0.0119997,0.00127253,0.0265478,1,211,121.045,12.6706,1,1,1,211,0,0,0
0.0116022,0.00277837,0.0145435,1,212,121.045,12.5453,1,1,1,212,0,0,0
0.00405464,0.00428884,0.00934739,1,207,121.045,12.3347,1,1,1,207,0,0,0
0.00831342,0.00157946,0.0265988,1,212,121.045,12.0575,1,1,1,212,0,0,0
0.0133758,0.00150502,0.0279954,1,212,121.045,12.348,1,1,1,212,0,0,0
0.00410132,0.00308738,0.00827619,1,210,121.045,12.2772,1,1,1,210,0,0,0
0.00877703,0.00132091,0.0239766,1,212,121.045,12.5127,1,1,1,212,0,0,0
0.0110891,0.00138375,0.0242922,1,209,121.045,12.3437,1,1,1,209,0,0,0
0.00517976,0.0127074,0.0134626,1,210,121.045,12.4542,1,1,1,210,0,0,0
0.00616338,0.00143848,0.0136916,1,212,121.045,12.9755,1,1,1,212,0,0,0
0.0130087,0.00148177,0.0271732,1,212,121.045,11.9291,1,1,1,212,0,0,0
0.00648723,0.00103071,0.0102008,1,210,121.045,12.4731,1,1,1,210,0,0,0
0.00536929,0.00574693,0.0181447,1,211,121.045,12.3235,1,1,1,211,0,0,0
0.0153715,0.00329767,0.0276987,1,210,121.045,12.227,1,1,1,210,0,0,0
0.00514166,0.00244926,0.00945268,1,211,121.045,12.4623,1,1,1,211,0,0,0
0.00403833,0.000777843,0.00938371,1,213,121.045,12.229,1,1,1,213,0,0,0
0.0121131,0.00129782,0.0255188,1,208,121.045,12.5064,1,1,1,208,0,0,0
0.0102727,0.00488608,0.0114326,1,210,121.045,12.412,1,1,1,210,0,0,0
0.00499365,0.0188638,0.0081231,1,210,121.045,12.1866,1,1,1,210,0,0,0
0.00422811,0.000593398,0.0103209,1,212,121.045,12.367,1,1,1,212,0,0,0
0.0121688,0.00141705,0.0246179,1,206,121.045,12.0749,1,1,1,206,0,0,0
0.0131337,0.00184967,0.0278185,1,208,121.045,12.0241,1,1,1,208,0,0,0
0.00505496,0.00597426,0.00864639,1,211,121.045,12.2033,1,1,1,211,0,0,0
0.00463992,0.00368755,0.0129169,1,206,127.393,12.2975,1,1,1,206,0,0,0
0.0129321,0.00130585,0.0248077,1,207,127.393,12.6336,1,1,1,207,0,0,0
0.00715445,0.00730597,0.00895168,1,204,127.393,12.0766,1,1,1,204,0,0,0
0.0120876,0.0187119,0.0252198,1,210,127.393,11.3895,1,1,1,210,0,0,0
0.00666655,0.00206965,0.0105691,1,213,127.393,12.4988,1,1,1,213,0,0,0
0.0122382,0.00616279,0.0322493,1,213,127.393,12.2466,1,1,1,213,0,0,0
0.00555577,0.00347984,0.0091992,1,211,127.393,12.2881,1,1,1,211,0,0,0
