Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00154974,0.00347174,0.133202,0.524752,101,9.27734,2.22169
0.000189064,0.000290973,0.104904,0.676471,102,9.27734,2.2522
0.000214856,0.000301701,0.0984214,0.619565,92,9.27734,2.00286
0.000197224,0.000296118,0.101821,0.631068,103,9.27734,2.46448
0.000202857,0.000279722,0.101326,0.791667,96,9.27734,2.98485
0.000198999,0.000292225,0.101962,0.57,100,9.27734,2.07637
0.000195011,0.000279991,0.0958846,0.6,95,9.27734,1.84372
0.000240275,0.000313412,0.0974798,0.616162,99,9.27734,2.7938
0.000194256,0.000316723,0.0895782,0.44086,93,9.27734,1.85439
0.000188827,0.00028881,0.0934914,0.525773,97,9.27734,2.23268
0.000199152,0.000315723,0.0911568,0.652632,95,9.27734,2.75831
0.000188431,0.00232307,0.104661,0.745283,106,9.27734,3.21882
0.00019884,0.000317171,0.09417,0.484536,97,9.27734,2.3186
0.000192329,0.000270307,0.0972785,0.545455,99,9.27734,1.65938
0.000204741,0.000313601,0.0961669,0.639175,97,9.27734,2.48176
0.000209575,0.00269987,0.0851335,0.678161,87,9.27734,2.01359
0.000204037,0.000285572,0.0945767,0.677083,96,9.27734,2.7079
0.000210676,0.000326994,0.0950542,0.572917,96,16.5527,2.24054
0.000210989,0.000302099,0.0952995,0.614583,96,16.5527,2.32476
0.000215316,0.000301873,0.100287,0.554455,101,16.5527,1.88357
0.000206764,0.00117762,0.101891,0.554455,101,16.5527,2.35862
0.000217294,0.000290666,0.0914435,0.725275,91,16.5527,2.27019
0.000216754,0.000273991,0.0912742,0.554348,92,16.5527,2.55641
0.000214924,0.000301674,0.0957242,0.65625,96,16.5527,2.46169
0.000213178,0.000278555,0.0961645,0.736842,95,16.5527,1.95162
0.000212041,0.000311517,0.104391,0.617647,102,16.5527,2.42834
0.000216843,0.000314794,0.106038,0.509615,104,16.5527,2.11361
0.000215081,0.000297471,0.0998675,0.666667,99,16.5527,2.49133
0.000227218,0.00028931,0.0984694,0.608247,97,16.5527,1.86144
0.000211294,0.000293862,0.101057,0.76,100,16.5527,1.81863
0.000220897,0.000315866,0.097588,0.649485,97,16.5527,2.35467
0.000215596,0.000310343,0.105442,0.650485,103,16.5527,1.61224
0.000228848,0.000307719,0.100483,0.616162,99,16.5527,2.20891
0.000220405,0.00029939,0.0948342,0.652174,92,16.5527,2.70433
0.000219632,0.000291211,0.0888762,0.45977,87,16.5527,2.25473
0.000221312,0.000310208,0.0993563,0.604167,96,16.5527,2.85616
0.000221852,0.000300261,0.0930489,0.582418,91,16.5527,2.42561
0.000217021,0.000302653,0.100685,0.622449,98,16.5527,1.81537
0.000226464,0.000313247,0.104517,0.564356,101,16.5527,2.95641
0.000218651,0.000308356,0.104159,0.534653,101,16.5527,2.73994
0.000211162,0.000284925,0.10142,0.585859,99,16.5527,1.98699
0.000244031,0.000313462,0.104335,0.54902,102,16.5527,1.63471
0.000218753,0.000312966,0.103015,0.84,100,23.2422,2.39107
0.000221905,0.00028267,0.102002,0.585859,99,23.2422,2.12895
0.000233367,0.000329017,0.0995675,0.693878,98,23.2422,1.44031
0.00022307,0.000304364,0.0918738,0.662921,89,23.2422,2.14177
0.000220179,0.000318006,0.110615,0.598131,107,23.2422,2.46745
0.000224617,0.00029669,0.0926383,0.640449,89,23.2422,2.3499
0.000217417,0.000355497,0.0966001,0.526316,95,23.2422,2.64798
0.000218334,0.000301763,0.101893,0.626263,99,23.2422,2.25426
0.000221342,0.000301212,0.0999335,0.587629,97,23.2422,1.92658
0.000226206,0.000305161,0.100082,0.602041,98,23.2422,1.81815
0.0002207,0.000301171,0.0956927,0.619565,92,23.2422,2.40035
0.000217411,0.000307273,0.100866,0.520408,98,23.2422,2.69788
0.000220258,0.000305027,0.0973968,0.6,95,23.2422,1.75546
0.000220371,0.00033848,0.100724,0.649485,97,23.2422,2.38795
0.000220235,0.000300857,0.102433,0.483871,93,23.2422,1.75307
0.0002357,0.000294686,0.0883692,0.647059,85,23.2422,2.21029
0.000252761,0.00326833,0.09939,0.639175,97,23.2422,2.07155
0.000219995,0.000305188,0.101529,0.494949,99,23.2422,2.04137
0.000215798,0.000295085,0.104236,0.52,100,23.2422,1.6842
0.000221523,0.000314272,0.105378,0.435644,101,23.2422,1.71669
0.000236974,0.000316754,0.103584,0.643564,101,23.2422,2.31352
0.000218751,0.000298837,0.100504,0.59596,99,23.2422,2.08666
0.000221064,0.000324209,0.0993944,0.625,96,23.2422,2.06895
0.000212084,0.000317333,0.108784,0.660377,106,23.2422,1.97811
0.000221704,0.000323023,0.102982,0.676768,99,23.2422,2.16306
0.000221356,0.000323408,0.108009,0.647619,105,29.3945,2.53231
0.000219096,0.000315101,0.103201,0.666667,102,29.3945,1.77913
0.00022055,0.000420208,0.107328,0.788462,104,29.3945,2.63584
0.000220022,0.000312911,0.0981454,0.734043,94,29.3945,1.68049
0.000221306,0.000318616,0.0970632,0.589474,95,29.3945,1.91468
0.000221769,0.000314692,0.0998414,0.552083,96,29.3945,1.70887
0.000212981,0.000317649,0.0983913,0.726316,95,29.3945,2.34421
0.000221492,0.000307082,0.0988683,0.697917,96,29.3945,2.22372
0.000226202,0.000304196,0.097858,0.673684,95,29.3945,2.12091
0.000220729,0.000321064,0.0996051,0.628866,97,29.3945,3.21317
0.000225779,0.000274435,0.102216,0.545455,99,29.3945,1.39641
0.000220938,0.000309901,0.0974222,0.645833,96,29.3945,1.49217
0.000218247,0.000298818,0.0932884,0.615385,91,29.3945,1.71312
0.000220799,0.00031049,0.0973681,0.589474,95,29.3945,2.41132
0.000216321,0.000305383,0.0986459,0.57732,97,29.3945,2.2416
0.000221808,0.000316494,0.102249,0.616162,99,29.3945,1.86456
0.000240138,0.000325815,0.108986,0.691589,107,29.3945,2.9956
0.00022129,0.000323967,0.1006,0.602041,98,29.3945,1.76857
0.00022204,0.00032999,0.106465,0.693069,101,29.3945,2.48865
0.000214881,0.000308072,0.0925559,0.622222,90,29.3945,2.88265
0.000217635,0.000315738,0.096011,0.623656,93,29.3945,2.51208
0.000212544,0.000310295,0.100003,0.84375,96,29.3945,1.8837
0.000213197,0.000306211,0.100682,0.721649,97,29.3945,2.32942
0.000220137,0.00109142,0.0963377,0.680851,94,29.3945,3.05408
0.000221304,0.000268902,0.0980322,0.768421,95,29.3945,1.90483
0.000220812,0.000277337,0.100577,0.469388,98,43.0664,2.48905
0.00022169,0.000275914,0.100191,0.622449,98,43.0664,2.24769
0.000221305,0.000278112,0.103136,0.7,100,43.0664,2.17503
0.000211807,0.00026787,0.109511,0.703704,108,43.0664,2.43895
0.000237207,0.000283071,0.107825,0.571429,105,43.0664,1.77955
0.000226132,0.000276239,0.100517,0.56701,97,43.0664,1.28078
0.000220289,0.000259886,0.0981212,0.793814,97,43.0664,2.19471
