Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.0458495,0.0856817,0.249824,0.623762,101,6.68945,1.79592
0.000585271,0.000467924,0.226743,0.619565,92,6.68945,2.00285
0.000635115,0.000918244,0.257438,0.51,100,6.68945,2.37114
0.000639126,0.000418548,0.243506,0.616162,99,6.68945,2.79379
0.000645688,0.000863713,0.229878,0.652632,95,30.2246,2.75832
0.000578603,0.000415527,0.232133,0.484536,97,30.2246,2.31852
0.000653605,0.000887203,0.208657,0.678161,87,30.2246,2.01358
0.000593083,0.000468133,0.230823,0.572917,96,30.2246,2.24055
0.000576677,0.000444382,0.241713,0.752475,101,30.2246,1.81287
0.000573759,0.000427871,0.220222,0.554348,92,30.2246,2.55638
0.00058928,0.000870901,0.22727,0.736842,95,30.2246,1.95153
0.000582927,0.00067199,0.252444,0.666667,99,30.2246,2.49133
0.000573082,0.000832097,0.23866,0.76,100,30.2246,1.81862
0.000573187,0.000860171,0.269461,0.650485,103,30.2246,1.61221
0.000577405,0.000451675,0.227571,0.631579,95,30.2246,2.13661
0.000575634,0.000948505,0.253687,0.515464,97,59.8633,2.13031
0.00063824,0.00042933,0.242681,0.534653,101,59.8633,2.73998
0.000660792,0.000901422,0.227324,0.547368,95,59.8633,1.69319
0.000577978,0.000422299,0.208823,0.701149,87,59.8633,2.03751
0.00057553,0.000905849,0.272727,0.598131,107,59.8633,2.46743
0.000623813,0.000431205,0.219275,0.362637,91,59.8633,1.14728
0.000574437,0.00121466,0.223012,0.634409,93,59.8633,3.18097
0.000576416,0.000841316,0.25682,0.520408,98,59.8633,2.69792
0.000583135,0.000879025,0.222434,0.483871,93,59.8633,1.75308
0.00061449,0.000977516,0.252462,0.639175,97,59.8633,2.07151
0.000576781,0.00145721,0.240204,0.52,100,71.0938,1.68419
0.000603968,0.000531154,0.237856,0.59596,99,71.0938,2.08668
0.000617771,0.000722408,0.240991,0.71,100,71.0938,1.98496
0.000579594,0.00089564,0.252388,0.647619,105,71.0938,2.53233
0.000572041,0.000442716,0.233951,0.591837,98,71.0938,2.26005
0.000580062,0.00143466,0.229605,0.552083,96,71.0938,1.70891
0.000602562,0.00130961,0.254311,0.697917,96,71.0938,2.22375
0.000713606,0.00143627,0.236048,0.460674,89,71.0938,1.65651
0.000580166,0.00086814,0.241049,0.615385,91,71.0938,1.71309
0.000575791,0.00125893,0.245208,0.616162,99,71.0938,1.86455
0.000618291,0.00144883,0.235184,0.602041,98,71.0938,1.76858
0.00064923,0.0011859,0.21644,0.622222,90,81.4453,2.88266
0.000578916,0.00143143,0.238257,0.84375,96,81.4453,1.88364
0.000638344,0.00120137,0.253288,0.768421,95,81.4453,1.90476
0.000681157,0.00128523,0.261793,0.737374,99,81.4453,2.19681
0.000585218,0.0013232,0.25993,0.571429,105,81.4453,1.77951
0.000587457,0.00122408,0.240561,0.793814,97,81.4453,2.19466
