Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,,,
0.0815698,0.0317153,0.408458,0.554455,101,17.7246,2.04605,,,
0.00057276,0.000434844,0.384192,0.729167,96,17.7246,4.02593,,,
0.000575261,0.000430729,0.371356,0.44086,93,17.7246,2.12967,,,
0.000735834,0.000404011,0.390317,0.606061,99,17.7246,3.39938,,,
0.000676615,0.000908489,0.380761,0.666667,96,40.332,3.63482,,,
0.000675417,0.00096323,0.400404,0.514851,101,40.332,3.26013,,,
0.000576302,0.000420573,0.376461,0.715789,95,40.332,2.33166,,,
0.000576614,0.000921823,0.382583,0.597938,97,40.332,2.14639,,,
0.000629688,0.000419948,0.389526,0.616162,99,40.332,2.52561,,,
0.000575156,0.000419531,0.358442,0.571429,91,40.332,2.97525,,,
0.000580781,0.000430938,0.399543,0.514851,101,40.332,3.48578,,,
0.000671146,0.00125703,0.396593,0.555556,99,53.125,2.62478,,,
0.000650521,0.000401979,0.353874,0.629213,89,53.125,2.99651,,,
0.000626875,0.000413438,0.37264,0.612903,93,53.125,3.86091,,,
0.000614063,0.00126511,0.395502,0.545455,99,53.125,2.40641,,,
0.000636979,0.000424375,0.389872,0.585859,99,53.125,2.73302,,,
0.000583177,0.00123302,0.400631,0.623762,101,53.125,2.84499,,,
0.000573229,0.00188766,0.391841,0.585859,99,56.8848,2.87069,,,
0.000578646,0.000433177,0.388863,0.55102,98,56.8848,3.13404,,,
0.000578177,0.00116661,0.382081,0.65625,96,56.8848,2.83753,,,
0.000574896,0.00171391,0.393726,0.525253,99,56.8848,1.66094,,,
0.000585678,0.00122651,0.394266,0.505051,99,56.8848,2.17983,,,
0.000569063,0.000418438,0.358306,0.444444,90,56.8848,1.69226,,,
0.000578542,0.000422969,0.385856,0.701031,97,56.8848,2.94687,,,
0.00057323,0.00125318,0.38729,0.602041,98,60.3516,2.83726,,,
0.000596563,0.000940313,0.374091,0.631579,95,60.3516,2.84321,,,
0.000576719,0.000428646,0.386928,0.773196,97,60.3516,2.74131,,,
,,,,,,,,,
0.003604138,0.001939103,0.384977889,0.594692667,,,,,,
Preprocessing Time (ms),Feature Extraction Time (ms),Prediction Time (ms),Accuracy (%),,,,,,
3.60,1.94,384.98,59.47,,,,,,
,,,,,,,,,
,Average Time (ms),,,,,,,,
,390.52,,,,,,,,
