Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score
0.00176181,0.0074842,0.220543,0.49505,101,80.957,2.76007,1,0.49505,0.662252
0.000385031,0.000471966,0.216686,0.61165,103,80.957,3.09175,1,0.61165,0.759036
0.000315236,0.000931708,0.192523,0.53,100,80.957,2.403,1,0.53,0.69281
0.000365699,0.000564913,0.177595,0.615385,91,80.957,3.49618,1,0.615385,0.761905
0.000316003,0.000328658,0.176822,0.606061,99,80.957,3.39949,1,0.606061,0.754717
0.000421728,0.00031495,0.176294,0.618557,97,80.957,2.9899,1,0.618557,0.764331
0.000240867,0.000230505,0.194047,0.541667,96,98.5352,2.68191,1,0.541667,0.702703
0.000461409,0.0113749,0.225353,0.514851,101,98.5352,3.26019,1,0.514851,0.679739
0.000469761,0.0103767,0.197213,0.715789,95,98.5352,2.33179,1,0.715789,0.834356
0.000406051,0.0120569,0.187366,0.59596,99,98.5352,3.45216,1,0.59596,0.746835
0.000432699,0.010415,0.187442,0.639175,97,98.5352,2.91904,1,0.639175,0.779874
0.000315426,0.0162211,0.195903,0.616162,99,98.5352,3.84863,1,0.616162,0.7625
0.000344267,0.00026155,0.181251,0.583333,96,98.5352,3.4382,1,0.583333,0.736842
0.00042944,0.000326436,0.182532,0.528736,87,98.5352,2.6308,1,0.528736,0.691729
0.000246197,0.000445714,0.179116,0.470588,102,106.689,2.02679,1,0.470588,0.64
0.000260247,0.000536781,0.151692,0.643678,87,106.689,2.58959,1,0.643678,0.783217
0.000341749,0.000326284,0.163649,0.662921,89,106.689,2.86844,1,0.662921,0.797297
0.000361165,0.000264578,0.175017,0.505263,95,106.689,3.28498,1,0.505263,0.671329
0.000402883,0.000371437,0.167118,0.556701,97,106.689,2.24091,1,0.556701,0.715232
0.000289279,0.000409537,0.164626,0.727273,99,106.689,2.47034,1,0.727273,0.842105
0.000296752,0.000406906,0.160474,0.639175,97,106.689,2.91962,1,0.639175,0.779874
0.000321323,0.000399983,0.141185,0.6,85,106.689,2.64976,1,0.6,0.75
0.00028187,0.00039529,0.168557,0.424242,99,106.689,2.51236,1,0.424242,0.595745
0.0002966,0.000386423,0.162077,0.642857,98,106.689,1.91088,1,0.642857,0.782609
0.000317631,0.000402682,0.15715,0.59375,96,106.689,2.6125,1,0.59375,0.745098
0.000285793,0.000392722,0.166659,0.585859,99,130.225,2.87067,1,0.585859,0.738854
0.000400497,0.000268414,0.175553,0.637255,102,130.225,2.23125,1,0.637255,0.778443
0.00036987,0.000304645,0.169496,0.589474,95,130.225,2.37777,1,0.589474,0.741722
0.000372006,0.000301735,0.16796,0.705263,95,130.225,2.80034,1,0.705263,0.82716
0.000377551,0.000290717,0.20728,0.627451,102,130.225,2.17598,1,0.627451,0.771084
0.000370364,0.00029118,0.166762,0.59375,96,130.225,1.8357,1,0.59375,0.745098
0.000356247,0.00131147,0.182536,0.494505,91,130.225,3.73986,1,0.494505,0.661765
0.000431573,0.00132873,0.172476,0.564356,101,130.225,2.99243,1,0.564356,0.721519
0.000217452,0.00047889,0.170885,0.623762,101,130.225,3.25612,1,0.623762,0.768293
0.000314501,0.000934208,0.160038,0.525773,97,130.225,3.43195,1,0.525773,0.689189
0.000329151,0.0004104,0.165809,0.69,100,130.225,2.73495,1,0.69,0.816568
0.000379533,0.000331535,0.167111,0.367347,98,135.84,3.17702,1,0.367347,0.537313
0.00029516,0.000417736,0.169929,0.46,100,135.84,2.9319,1,0.46,0.630137
0.000324809,0.000484191,0.160462,0.525773,97,135.84,1.56018,1,0.525773,0.689189
0.000305422,0.000417842,0.155839,0.773196,97,135.84,2.7414,1,0.773196,0.872093
