Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.0033556,0.00118236,0.00617686,1,188,18.8477,12.0761
0.00324013,0.00304884,0.0186734,1,187,18.8477,11.7947
0.00300167,0.0029406,0.018789,1,198,18.8477,12.0118
0.00399652,0.00307602,0.0174654,1,188,18.8477,11.8639
0.00409041,0.00317884,0.0216564,1,190,18.8477,11.8178
0.00215386,0.00215625,0.0133427,1,193,18.8477,11.0713
0.00478182,0.0031676,0.0201605,1,190,18.8477,11.4774
0.0021517,0.002177,0.0136775,1,195,18.8477,12.2599
0.00410388,0.00314569,0.0212366,1,189,18.8477,11.3805
0.00151924,0.00124804,0.00839224,1,195,18.8477,11.2809
0.00398626,0.00336738,0.0210038,1,191,18.8477,12.0096
0.00299143,0.00300312,0.0198881,1,199,18.8477,11.4703
0.00481045,0.00354065,0.0208743,1,190,18.8477,11.7374
0.00218129,0.00216755,0.0141468,1,194,18.8477,11.0746
0.0039536,0.00305805,0.0209263,1,188,18.8477,10.7561
0.00408808,0.00320805,0.0109637,1,193,18.8477,12.6445
0.00398025,0.00331354,0.0218707,1,191,18.8477,12.0294
0.0039708,0.00318394,0.0212549,1,185,18.8477,11.5347
0.00399991,0.00331072,0.0207556,1,193,18.8477,12.135
0.00549933,0.00322829,0.0208085,1,193,18.8477,12.249
0.00210881,0.0020275,0.0142165,1,196,18.8477,12.6729
0.00397578,0.00328407,0.0211495,1,194,18.8477,12.1483
0.00395757,0.00322004,0.0204749,1,194,18.8477,12.3105
0.00399807,0.00323431,0.0206127,1,193,18.8477,11.6619
0.00467341,0.00330443,0.022297,1,195,18.8477,11.573
0.00185751,0.00163603,0.0113112,1,189,18.8477,11.7661
0.00400869,0.00334423,0.0226772,1,199,18.8477,11.5073
0.00186928,0.00174528,0.0116389,1,196,18.8477,11.9143
0.00496203,0.00332704,0.0217401,1,199,18.8477,11.4071
0.0021084,0.00188675,0.0134119,1,187,18.8477,11.4966
0.00397685,0.00322361,0.0108321,1,194,18.8477,11.6462
0.00401639,0.00233082,0.0138076,1,195,18.8477,12.4777
0.00398794,0.00326796,0.0193237,1,191,18.8477,10.9866
0.00175707,0.00159508,0.0104179,1,190,18.8477,11.2301
0.00403554,0.00312573,0.0239296,1,188,18.8477,11.7254
0.00399463,0.00318928,0.0190722,1,189,18.8477,10.9474
0.00396805,0.00318187,0.0188939,1,193,18.8477,12.1091
0.00405471,0.00318393,0.0192183,1,190,18.8477,11.2973
0.00406713,0.00330024,0.0197199,1,196,18.8477,11.9338
0.00142215,0.000957571,0.00587689,1,202,18.8477,12.3389
0.00554739,0.00440407,0.0238254,1,194,25.3906,11.4089
0.00399834,0.00318628,0.0187688,1,192,25.3906,11.9839
0.00307342,0.00280219,0.0176145,1,192,25.3906,11.8292
0.00397559,0.0032486,0.0197255,1,193,25.3906,11.7999
0.00149102,0.00130702,0.00797379,1,197,25.3906,12.0309
0.00411477,0.00314754,0.0208275,1,187,25.3906,12.3414
0.00395343,0.0031988,0.0212795,1,193,25.3906,11.8668
0.00394658,0.00308485,0.0207387,1,188,25.3906,11.9787
0.00395522,0.00319574,0.0212929,1,191,25.3906,12.0866
0.00394839,0.00347996,0.0226957,1,198,25.3906,11.6171
0.0039576,0.00309207,0.0205493,1,187,25.3906,11.9183
0.00393853,0.00319289,0.0190659,1,193,25.3906,12.0541
0.00395288,0.00305587,0.019772,1,186,25.3906,11.2288
0.00396979,0.00296108,0.0190144,1,183,25.3906,12.1586
0.00173288,0.00327554,0.0206383,1,195,25.3906,12.1534
0.00172055,0.00312712,0.0198588,1,190,25.3906,11.4156
0.00168866,0.00309655,0.0198784,1,189,25.3906,12.6568
0.00168999,0.00341054,0.0267557,1,200,25.3906,12.2593
0.000516123,0.000891647,0.00522909,1,194,25.3906,12.1639
0.00174176,0.00340898,0.0142347,1,199,25.3906,12.8078
0.00280823,0.00384665,0.0192942,1,191,25.3906,11.5211
0.0017358,0.00305516,0.0063797,1,194,25.3906,11.5739
0.00174749,0.00321158,0.0199853,1,191,25.3906,11.1722
0.0017828,0.00314696,0.0200536,1,190,25.3906,12.2912
0.00174275,0.00299743,0.0196542,1,186,25.3906,10.6952
0.00172988,0.00310991,0.0201382,1,190,25.3906,11.5662
0.00170448,0.00314549,0.0199101,1,191,25.3906,11.7203
0.00170789,0.00329635,0.0207173,0.994924,197,25.3906,11.619
0.00172035,0.00327139,0.0201672,0.994872,195,25.3906,11.6532
