Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00309592,0.003161,0.0169636,1,170,72.7051,13.8942
0.00235918,0.00281604,0.0167781,1,173,72.7051,13.1747
0.00128451,0.00179216,0.011823,1,171,72.7051,11.9732
0.00236037,0.00289312,0.0192069,1,176,72.7051,13.5492
0.00234512,0.00269326,0.0173567,1,168,72.7051,12.8231
0.00153338,0.00174629,0.0149528,0.988095,168,72.7051,13.3303
0.00234374,0.00280224,0.0174717,1,173,72.7051,13.6889
0.00241593,0.00282418,0.0195013,1,175,72.7051,14.2558
0.0022187,0.0028122,0.0205745,1,173,72.7051,14.2562
0.00221989,0.00290703,0.0199344,0.994413,179,72.7051,13.8964
0.00241517,0.00275994,0.0195023,0.982759,174,72.7051,13.631
0.00240283,0.00271622,0.0192411,1,171,72.7051,12.5458
0.00290205,0.0029247,0.0205858,0.99435,177,72.7051,13.5973
0.00275496,0.00294291,0.0199318,0.994382,178,72.7051,13.1955
0.00287955,0.00280143,0.0193678,0.994286,175,72.7051,12.872
0.00287766,0.00290443,0.0199299,1,178,72.7051,12.3311
0.00240582,0.00274268,0.0215957,1,172,82.9102,12.5283
0.00241006,0.0026024,0.0182773,1,167,82.9102,12.6154
0.000956315,0.00105762,0.00592325,0.976744,172,82.9102,12.7891
0.000806254,0.000972031,0.00617843,1,177,82.9102,12.8255
0.00240385,0.00263126,0.0173135,1,168,82.9102,12.7128
0.0023904,0.00270423,0.0192735,1,170,82.9102,13.3118
0.00296897,0.00286158,0.0178218,1,176,82.9102,14.5177
0.00170622,0.00200378,0.0132501,1,172,82.9102,12.365
0.0023458,0.00221061,0.0101299,1,171,82.9102,12.7428
0.00309913,0.00269329,0.0195373,1,169,82.9102,13.7472
0.00286114,0.00289009,0.0197053,1,179,82.9102,13.4635
0.00235301,0.00266793,0.0181583,0.982143,168,82.9102,12.6132
0.00205264,0.00255893,0.0176918,1,169,82.9102,12.4737
0.00237678,0.00282013,0.0200049,1,175,82.9102,13.6234
0.00288014,0.00324073,0.0205033,1,175,82.9102,12.855
0.0028852,0.00278123,0.019296,0.994253,174,82.9102,13.6609
0.00289719,0.00322741,0.0204166,1,178,82.9102,14.0395
0.0012454,0.00174137,0.0125343,1,175,82.9102,12.9648
0.00241608,0.00281011,0.0164674,1,176,82.9102,13.569
0.00289577,0.00287308,0.0192703,1,179,82.9102,13.1374
0.00240936,0.00280306,0.0188359,1,175,82.9102,12.8937
0.00287901,0.00283512,0.0199196,0.994253,174,82.9102,12.7735
0.0029083,0.00285434,0.0190472,1,176,82.9102,13.5633
0.00142074,0.00210296,0.0153743,1,178,82.9102,12.7329
0.00290502,0.00296059,0.0214719,1,175,82.9102,13.7574
0.0028299,0.00357426,0.0225186,1,173,82.9102,12.7547
0.00240933,0.00282977,0.0221306,1,175,82.9102,12.9524
0.00283454,0.00273279,0.0218748,1,171,82.9102,13.5645
0.00313425,0.0028921,0.0183821,0.988701,177,82.9102,12.4653
0.000935989,0.000970166,0.00618228,1,177,82.9102,12.8045
0.00267705,0.00327429,0.0185081,1,174,82.9102,13.8655
0.00291556,0.00287578,0.0190781,1,177,82.9102,13.4685
0.00305525,0.0026722,0.0190679,1,166,82.9102,12.5183
0.00290114,0.00276107,0.0193401,1,172,82.9102,14.3354
0.00199874,0.00254757,0.0174721,1,178,82.9102,13.2632
0.0029318,0.00282554,0.019554,1,176,82.9102,13.9244
0.00286409,0.00282514,0.0181173,1,175,82.9102,13.5084
0.00282466,0.00283383,0.018403,1,176,82.9102,13.5989
0.00288652,0.00276284,0.0178302,1,173,82.9102,12.4632
0.00287792,0.00287435,0.0184287,1,175,82.9102,13.456
0.0028125,0.00276837,0.0179678,0.982558,172,82.9102,12.2823
0.00292754,0.00285314,0.0181138,1,175,82.9102,13.607
0.00294262,0.00290712,0.0187638,1,177,82.9102,13.3016
0.00233693,0.00269023,0.0177629,0.982036,167,82.9102,12.5155
0.00287149,0.00287389,0.018193,1,176,82.9102,13.3967
0.00237395,0.00270852,0.0175154,0.988166,169,82.9102,12.8967
0.00237973,0.00276755,0.0178333,1,172,82.9102,12.9374
0.00297975,0.00291496,0.0185616,1,178,82.9102,13.4651
0.002366,0.00295372,0.0184557,1,176,82.9102,13.5479
0.00289935,0.00285512,0.0185503,1,177,82.9102,13.9783
0.00289009,0.00275033,0.0180037,1,171,92.334,13.0383
0.000888348,0.000978731,0.00606812,0.994595,185,92.334,13.9412
0.00285506,0.0029214,0.0184031,1,177,92.334,13.5843
0.00176503,0.00198687,0.012978,0.976744,172,92.334,12.8669
0.00189996,0.00220086,0.0145108,1,173,92.334,14.3196
0.00380458,0.00265723,0.0178743,1,168,92.334,12.0038
0.00123003,0.00131434,0.0081301,1,171,92.334,13.3504
0.00313239,0.00227963,0.01284,1,175,92.334,12.0976
0.00291923,0.00276341,0.0141626,1,174,92.334,12.3512
0.00290513,0.0027923,0.0180533,1,174,92.334,13.6079
0.00291341,0.00278295,0.017775,1,173,92.334,13.1387
0.00286302,0.00268096,0.0176967,1,169,92.334,12.7216
0.00300265,0.00328718,0.0189814,1,171,92.334,12.61
0.00292455,0.00288177,0.0194845,1,174,92.334,13.8859
0.00106057,0.00109741,0.00681617,0.994253,174,92.334,13.5827
0.00289289,0.00285257,0.0194075,0.994286,175,92.334,12.3357
0.00290626,0.00289748,0.0206317,0.994413,179,92.334,13.4173
0.00188781,0.00244768,0.0166546,1,172,92.334,12.2428
0.00283467,0.00276339,0.0192485,1,171,92.334,13.9594
0.00290312,0.00280942,0.0186998,1,175,92.334,12.2469
