Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00312749,0.0545797,0.0148477,1,199,78.5156,11.0436
0.002052,0.00202867,0.0131335,1,193,78.5156,12.1016
0.00196445,0.00158616,0.0129732,1,191,78.5156,11.824
0.00260467,0.00257602,0.0125644,1,202,78.5156,12.2919
0.00200627,0.00212607,0.0124046,1,192,78.5156,11.4884
0.00251987,0.00242946,0.0125007,1,196,78.5156,11.5752
0.00200804,0.00181414,0.0123538,1,196,78.5156,11.1845
0.00280712,0.00211638,0.0120482,1,193,78.5156,11.4774
0.00261326,0.00229831,0.0122357,1,199,78.5156,11.9691
0.00243138,0.00230169,0.0127415,1,197,78.5156,12.0442
0.00281977,0.00249935,0.0124625,1,201,78.5156,10.9902
0.00259779,0.00216195,0.0118706,1,193,78.5156,11.5091
0.00242597,0.00225435,0.0122627,1,195,78.5156,12.0584
0.002538,0.00236237,0.0122663,1,193,78.5156,11.2375
0.00254524,0.00243518,0.0129478,1,197,78.5156,11.5905
0.0025081,0.00190674,0.0121786,1,189,78.5156,10.4503
0.00256264,0.00264592,0.0132473,1,199,78.5156,12.2673
0.00246269,0.00176059,0.012223,1,194,78.5156,12.1294
0.00243492,0.00203794,0.0120973,1,193,78.5156,11.6078
0.00255336,0.00243966,0.0123376,1,197,78.5156,11.8811
0.00252331,0.00234529,0.0132945,1,194,78.5156,12.5354
0.0026455,0.00246513,0.0123941,1,197,80.2734,12.8629
0.00247461,0.0018045,0.0125613,1,197,80.2734,12.4802
0.00265149,0.00253977,0.0142295,0.995074,203,80.2734,11.7364
0.00264675,0.00227482,0.0127038,1,195,80.2734,11.9815
0.00255612,0.00193325,0.012263,1,198,80.2734,12.0749
0.00281394,0.00237471,0.0124649,1,194,80.2734,11.8203
0.0024542,0.00225753,0.0127941,1,203,80.2734,11.5094
0.002628,0.00253373,0.0128443,1,201,80.2734,11.9291
0.00243003,0.00225576,0.013042,1,203,80.2734,11.9149
0.00244498,0.00208279,0.0126862,1,191,80.2734,11.4078
0.00248868,0.00216372,0.0125028,1,199,80.2734,11.8852
0.00264941,0.00245821,0.0124896,1,197,80.2734,12.2496
0.00242539,0.00192737,0.0124783,1,192,80.2734,11.1878
0.00242466,0.00219268,0.0125263,1,191,80.2734,11.4158
0.00243164,0.00219982,0.0124725,1,192,80.2734,11.593
0.00177419,0.00151179,0.0118177,1,189,80.2734,10.9301
0.00263915,0.00242862,0.0124792,1,196,80.2734,11.7724
0.00253524,0.00242904,0.0124633,1,192,80.2734,11.4217
0.00263086,0.00254633,0.0129631,1,199,80.2734,11.3072
0.00283889,0.00250289,0.0136677,1,210,80.2734,12.6558
0.0024518,0.00229185,0.0134259,1,198,80.2734,11.3642
0.00292811,0.00223331,0.0127975,1,199,80.2734,12.8676
0.00250274,0.00242123,0.0129233,1,196,80.2734,12.1408
0.00290415,0.00243826,0.0135741,1,197,80.2734,12.1352
0.00261107,0.0022455,0.0125507,1,199,80.2734,12.7377
0.00278706,0.00234435,0.0119965,1,190,80.2734,12.5712
0.00262779,0.0022806,0.0128868,1,198,80.2734,11.747
0.00272175,0.00216659,0.0127498,1,193,80.2734,12.3299
0.00294061,0.00221836,0.01235,1,191,80.2734,12.6662
0.00260941,0.00197487,0.0129282,1,196,80.2734,11.8193
0.00262904,0.00209206,0.0122958,1,191,80.2734,11.9967
0.00247451,0.00213497,0.0130177,1,192,80.2734,11.8112
0.00243472,0.00223815,0.0125131,1,190,80.2734,11.317
0.00243013,0.00214992,0.0122046,1,188,80.2734,12.3562
0.00268383,0.00204127,0.0125949,1,197,80.2734,12.3961
0.00281993,0.00225925,0.0130023,1,194,80.2734,11.374
0.00273383,0.00235935,0.0128285,1,192,80.2734,12.9607
0.00256592,0.00270488,0.0132204,1,202,80.2734,12.26
0.00253206,0.00210232,0.0129815,1,200,80.2734,12.4443
0.00243216,0.00251628,0.0136705,1,203,80.2734,12.9146
0.00258711,0.00217044,0.0128211,1,194,80.2734,11.7435
0.00274628,0.00217857,0.012855,1,198,80.2734,11.6828
0.00278701,0.00197742,0.0128712,1,192,80.2734,10.9848
0.00243623,0.00201555,0.0120938,1,190,80.2734,11.6975
0.00260514,0.00218258,0.0125345,1,191,80.2734,11.0852
0.002883,0.00236519,0.0120068,1,193,80.2734,11.6986
0.0028042,0.00227951,0.012925,1,197,80.2734,11.3017
0.00276311,0.00248508,0.0137039,1,207,80.2734,11.9411
0.00314222,0.00234492,0.0125935,1,199,80.2734,12.0724
0.00264743,0.00218367,0.0126378,0.994924,197,80.2734,11.7196
0.00261274,0.00239711,0.0131058,1,192,89.8926,12.0886
0.00245045,0.00215935,0.0123417,1,195,89.8926,10.9379
0.00303191,0.00236565,0.0133048,1,198,89.8926,11.2242
0.00276509,0.00209872,0.0131419,1,199,89.8926,12.0178
0.00181867,0.00157643,0.0140248,1,196,89.8926,11.3576
0.00190325,0.0016158,0.0137554,1,195,89.8926,11.0742
0.00262003,0.00246373,0.012831,1,195,89.8926,11.8955
0.00273321,0.00195117,0.0154497,1,197,89.8926,12.0971
0.00255586,0.00225768,0.0125404,1,187,89.8926,11.2992
0.00287154,0.00244972,0.0130003,1,199,89.8926,11.9053
0.00259576,0.00241493,0.0131203,1,197,89.8926,10.9195
0.00268206,0.0022632,0.0137977,1,204,89.8926,11.4792
0.00255711,0.00197429,0.0124483,1,197,89.8926,12.1528
0.00197695,0.00251263,0.0134376,1,195,89.8926,12.1665
0.00254191,0.00246513,0.013246,1,201,89.8926,12.3232
0.00246232,0.00220909,0.0134466,1,191,89.8926,11.8666
0.00238143,0.00200393,0.012192,0.994764,191,89.8926,11.4296
0.00260691,0.00240904,0.0132811,1,192,89.8926,11.5375
0.00242737,0.00198768,0.0155235,1,200,89.8926,11.8521
0.00264045,0.00225456,0.0144338,1,192,89.8926,11.4081
0.00247493,0.00211747,0.0124169,1,194,89.8926,11.6568
0.00213638,0.00257649,0.0125841,1,202,89.8926,10.8004
0.00175377,0.00165075,0.0148812,0.989744,195,89.8926,11.4157
0.00180085,0.00165575,0.0126331,1,198,89.8926,11.5902
0.00246571,0.00200101,0.0135632,1,195,89.8926,12.5959
0.00258326,0.00233633,0.0125779,1,193,89.8926,10.5083
0.00222008,0.00175518,0.0160422,1,195,89.8926,10.9232
0.00245378,0.00216664,0.0125321,1,194,89.8926,10.4811
0.00295675,0.00250982,0.0149831,1,196,89.8926,11.3842
0.0026631,0.0022345,0.0123523,1,194,89.8926,12.2462
0.00246862,0.00221398,0.0145978,1,195,89.8926,11.3232
0.00248644,0.00202445,0.0123797,1,194,89.8926,12.3088
0.0025405,0.00245003,0.0122833,1,194,89.8926,11.696
0.00276873,0.00175382,0.0147631,1,196,89.8926,11.2058
0.0027766,0.00203831,0.0126014,0.994819,193,89.8926,10.8581
0.00336014,0.00290311,0.01283,1,195,89.8926,11.3828
0.0021244,0.00158632,0.0121621,0.964103,195,89.8926,11.1912
0.00196648,0.00180117,0.0128089,0.979798,198,89.8926,11.104
0.00295712,0.00249211,0.0123214,0.995,200,89.8926,11.7716
0.00244373,0.00218425,0.0130346,1,197,89.8926,11.8906
0.00199148,0.00185148,0.0126797,1,200,89.8926,11.5696
0.00190528,0.00170283,0.0122431,1,188,89.8926,11.2005
0.0018096,0.0018208,0.0122298,1,195,89.8926,11.5905
0.00212148,0.0015634,0.0122718,1,190,89.8926,12.2096
0.00202414,0.00207336,0.0126899,1,198,89.8926,12.7352
0.00186393,0.00166924,0.0130357,1,202,89.8926,11.9308
0.00245034,0.0022718,0.0128512,1,199,89.8926,10.8606
0.00243743,0.00230831,0.0133138,0.994924,197,89.8926,12.0179
0.00287087,0.00265513,0.0131835,1,194,89.8926,12.3151
0.00202388,0.00211779,0.0171665,1,202,89.8926,12.4209
0.00271644,0.00217013,0.0125395,1,194,130.762,9.99084
0.00247102,0.00230268,0.0144103,1,199,130.762,12.0253
0.00251696,0.00236508,0.0150989,1,193,130.762,11.5922
0.00258441,0.00227399,0.0132596,1,191,130.762,10.6333
0.00244326,0.00211966,0.0123592,1,193,130.762,11.8737
0.00245477,0.00229971,0.0130806,1,192,130.762,10.9911
0.00258873,0.002398,0.0125595,1,195,130.762,11.3162
0.00246643,0.00222258,0.013192,1,199,130.762,11.7694
0.00244378,0.00228659,0.0127164,1,198,130.762,12.4975
0.00248956,0.00234154,0.0135531,1,190,130.762,10.1907
0.00252394,0.00197226,0.0143133,1,193,130.762,11.2885
0.0029503,0.00170038,0.013072,1,196,130.762,11.6018
0.00236805,0.00187627,0.0127272,0.994819,193,130.762,11.3083
0.00256607,0.00242784,0.0129368,1,197,130.762,12.4366
0.00283425,0.00181481,0.0124299,1,199,130.762,12.3644
0.00279149,0.00206627,0.012726,1,196,130.762,11.8538
0.0027891,0.00221893,0.0123873,1,188,130.762,12.6727
0.00282165,0.00212664,0.0130985,1,201,130.762,11.2964
0.00293076,0.00203388,0.0123691,1,193,130.762,11.0599
0.00242201,0.0021582,0.0134374,1,193,130.762,11.1335
0.00265753,0.00241591,0.015183,1,201,130.762,12.0143
0.00250258,0.00213122,0.0120809,0.994709,189,130.762,11.9551
0.00290852,0.00212049,0.0134013,1,187,130.762,10.8748
0.00275441,0.00218633,0.012991,1,195,130.762,11.8231
0.00242524,0.0022432,0.0125723,1,195,130.762,11.4368
0.00259831,0.00218091,0.0129079,1,194,130.762,12.1573
0.0029516,0.00243576,0.0130069,0.975,200,130.762,11.8931
0.0028041,0.00190924,0.0128554,1,197,130.762,12.3764
0.00252321,0.00248076,0.0125176,1,199,130.762,11.4526
0.00241019,0.00197435,0.0129528,0.984694,196,130.762,11.0527
0.0024242,0.00196789,0.0145718,1,197,130.762,10.8821
0.00264097,0.00245852,0.0128185,1,192,130.762,11.3826
0.00278701,0.00179158,0.0123897,1,195,130.762,12.3841
0.00249482,0.0023207,0.0133371,1,191,130.762,11.8087
0.00255341,0.00236727,0.0124379,0.994845,194,130.762,12.3197
0.00296165,0.00241847,0.0151832,1,199,130.762,11.7277
0.00248487,0.00226091,0.014502,1,198,130.762,12.2068
0.00279675,0.00207409,0.0129763,1,195,130.762,12.1896
0.00289259,0.00251513,0.0121938,1,196,130.762,12.1433
0.00935954,0.0025031,0.0157689,1,258,130.762,13.4119
0.00127798,0.00170747,0.012422,1,194,130.762,11.2108
0.00209065,0.00250123,0.0139674,0.994845,194,130.762,11.7035
0.00187226,0.00244982,0.0133697,1,196,130.762,13.0925
0.00186356,0.00248571,0.013151,1,196,130.762,12.5677
0.00175544,0.00216351,0.0121945,1,188,130.762,11.5072
0.00187403,0.00256331,0.0134585,1,201,130.762,11.7608
0.00174059,0.00228706,0.0132661,1,198,130.762,11.8513
0.00172788,0.00281941,0.0129628,1,199,130.762,11.471
0.00174617,0.00231753,0.0135158,1,191,130.762,11.6048
0.00187622,0.00267347,0.0137172,1,198,130.762,12.5251
0.00181856,0.00242607,0.0133166,1,194,128.271,12.1637
0.00201086,0.00207612,0.0128855,1,194,128.271,12.6685
0.00184596,0.00243149,0.0141381,1,193,128.271,12.5739
0.00183716,0.00227372,0.0132453,1,194,128.271,12.2989
0.00194971,0.00253191,0.0136206,1,202,128.271,12.5968
0.00205195,0.00236253,0.012436,1,190,128.271,11.1387
0.00211487,0.00228497,0.0126346,1,189,128.271,11.5916
0.00183336,0.002378,0.0123369,1,189,128.271,11.6418
0.00174924,0.00230622,0.0129619,1,200,128.271,12.3045
0.00174669,0.00255565,0.0138764,1,199,128.271,11.5576
0.00176179,0.0022594,0.0125009,1,192,128.271,11.5462
0.00175148,0.00252034,0.0130854,1,194,128.271,12.3751
0.0021631,0.00239826,0.0129689,1,193,128.271,11.6302
0.00185507,0.00250175,0.0123895,1,191,128.271,12.8827
0.00780483,0.00256722,0.0171462,1,260,128.271,13.8893
0.00228227,0.0021781,0.0145695,1,199,128.271,12.0133
0.00185309,0.00235914,0.0133362,1,195,128.271,12.3489
0.00191299,0.00253597,0.0124088,0.994792,192,128.271,10.9118
0.00207289,0.00245461,0.0132018,1,197,128.271,11.6364
0.00183794,0.0024017,0.0135355,1,197,128.271,12.3316
0.00176226,0.00238211,0.0131126,0.984127,189,128.271,11.3102
0.00174106,0.00220659,0.0125788,1,192,128.271,11.7375
0.00175669,0.00264883,0.0129224,1,195,128.271,11.618
0.00174122,0.00223659,0.0132812,1,193,128.271,11.5618
0.00211414,0.00246315,0.0132456,1,203,128.271,11.1858
0.0017532,0.00200804,0.0124156,1,191,128.271,11.7315
0.00175117,0.00240758,0.0130529,1,192,128.271,11.8983
0.00174669,0.00262118,0.0135971,1,204,128.271,10.8685
0.00192153,0.00244904,0.0139239,1,194,128.271,11.3633
0.00175382,0.0024319,0.0124293,1,191,128.271,12.0603
0.00195669,0.00265003,0.0131014,1,192,128.271,12.3007
0.00174091,0.00221768,0.0129682,0.994819,193,128.271,11.4794
0.00175981,0.00235341,0.0134266,1,192,128.271,12.0187
0.00175179,0.00254659,0.0128785,1,195,128.271,11.3564
0.00174018,0.00248696,0.0130853,1,193,128.271,12.3317
0.00193362,0.00241456,0.0131866,1,192,128.271,11.6104
0.00186112,0.00233638,0.0148477,1,192,128.271,10.9899
0.00175622,0.00229617,0.0126146,1,196,128.271,12.21
0.00174111,0.00232112,0.0134932,1,197,128.271,11.9478
0.00175632,0.00263873,0.0153197,1,202,128.271,11.9723
0.00184341,0.00241591,0.0134977,1,193,128.271,11.2484
0.00175778,0.0023919,0.0135884,1,192,128.271,11.3331
0.00176481,0.00254638,0.013709,1,198,128.271,13.1068
0.00175606,0.00273165,0.0132621,1,192,128.271,11.868
0.00176986,0.00260211,0.0135366,1,195,128.271,11.2754
0.00178013,0.00275587,0.0127834,1,196,128.271,11.7512
0.00190981,0.00261279,0.0142345,1,203,128.271,11.9738
0.00172835,0.00246123,0.0125793,1,190,128.271,11.8321
0.00160663,0.00261227,0.0131122,1,197,128.271,11.8964
